评论内容,用户昵称,点赞数
你们喜欢听民谣的女孩子吗,盼盼在发光,2326
既然你们这么文艺，我也我也不藏着掖着了。啊！大海！你都是水！！啊！骏马！你四条腿！！,贺贺是大叔,989
"愿你们是渣的那一方
背负所有骂名愉快生活
而不是在深夜痛哭
辗转反侧茶饭不思
做一个痛苦的好人",冬雨拾梦,683
啊！船！你没有腿！,故人Yoo,331
"从2015年开始喜欢民谣，后来为了民谣学了吉他，听的第一首民谣是南山南。学的第一首民谣是丁香花，爱的第一首民谣是涩。喜欢的第一个民谣歌手是陈粒，吉他学了三年了，谈过很多民谣了，还是爱着它。
我知道风里有诗句，不知道你——奇妙能力歌
粒粒儿",废鱼二狗子啊,239
啊！楼主！我信你个鬼！,澲殇,127
好诗好诗，此诗虽豪放却不失美感，这个“啊”字表达了作者激动和喜悦的心情，“大海”两字使全诗都带有浪漫主义色彩，“骏马”两字写出了作者洒脱的心情…,小猫咪king,83
喜欢啊 喜欢民谣的女孩是有多干净 善良 可爱,老子不晓得取什么昵称,77
"她喜欢民谣 我喜欢她，后来
我喜欢民谣 她喜欢他",这个世界一向如此,46
"民谣有三
爱情 理想 远方
听者有三
孤独 平庸 落魄",康师傅吃汤达人不喝汤,31
"最难受的是
我不是渣的那方
我在深夜痛苦
辗转反侧茶饭不思
做一个痛苦的好人
还要背负他们捏造的骂名",空白键jpg,27
啊！楼主! 我们同城,帐号已注销,20
啊！大叔！你可真是个幽默鬼！,林向阳_lucky,17
她就是个爱听民谣的姑娘,pink小豪,17
啊！楼主！你正常点！,雪融一江春,16
